date/time,MEAN
2008-01-10T18:18:00,1606.605
2008-01-20T16:17:00,1606.541
2008-01-30T14:15:00,1606.535
2008-02-09T12:14:00,1606.532
2008-02-19T10:12:00,1606.536
2008-02-29T08:11:00,1606.49
2008-03-10T06:09:00,1606.486
2008-03-20T04:08:00,1606.495
2008-03-30T02:06:00,1606.43
2008-04-09T00:05:00,1606.551
2008-04-18T22:03:00,1606.609
2008-04-28T20:02:00,1606.606
2008-05-18T15:59:00,1606.648
2008-05-28T13:57:00,1606.6
2008-06-07T11:56:00,1606.646
2008-06-17T09:54:00,1606.654
2008-06-27T07:53:00,1606.582
2008-07-07T05:51:00,1606.651
2008-07-07T05:52:00,1606.667
2008-07-17T03:50:00,1606.619
2008-07-17T03:51:00,1606.634
2008-07-27T01:49:00,1606.583
2008-08-05T23:47:00,1606.58
2008-08-05T23:48:00,1606.575
2008-08-15T21:46:00,1606.611
2008-08-25T19:44:00,1606.593
2008-08-25T19:45:00,1606.6
2008-09-04T17:43:00,1606.589
2008-09-04T17:44:00,1606.6
2008-09-14T15:41:00,1606.555
2008-09-14T15:42:00,1606.543
2008-09-24T13:40:00,1606.572
2008-09-24T13:41:00,1606.543
2008-10-04T11:38:00,1606.516
2008-10-04T11:39:00,1606.497
2008-10-14T09:37:00,1606.508
2008-10-14T09:38:00,1606.489
2008-10-24T07:35:00,1606.475
2008-10-24T07:36:00,1606.474
2008-11-03T05:34:00,1606.469
2008-11-03T05:35:00,1606.457
2008-11-13T03:32:00,1606.47
2008-11-13T03:33:00,1606.454
2008-11-23T01:31:00,1606.444
2008-11-23T01:32:00,1606.436
2008-12-02T23:29:00,1606.447
2008-12-02T23:30:00,1606.437
2008-12-12T21:28:00,1606.433
2008-12-12T21:29:00,1606.428
2008-12-22T19:26:00,1606.445
2008-12-22T19:27:00,1606.44
2009-01-01T17:25:00,1606.425
2009-01-01T17:26:00,1606.44
2009-01-11T15:23:00,1606.413
2009-01-11T15:24:00,1606.421
2009-01-21T13:22:00,1606.353
2009-01-21T13:23:00,1606.353
2009-01-31T11:21:00,1606.404
2009-02-10T09:20:00,1606.38
2009-02-20T07:19:00,1606.354
2009-03-02T05:17:00,1606.431
2009-03-12T03:16:00,1606.367
2009-03-22T01:14:00,1606.333
2009-03-31T23:13:00,1606.42
2009-04-10T21:11:00,1606.507
2009-04-20T19:10:00,1606.393
2009-04-30T17:08:00,1606.43
2009-05-10T15:07:00,1606.522
2009-05-20T13:05:00,1606.517
2009-05-30T11:04:00,1606.586
2009-06-09T09:02:00,1606.56
2009-06-19T07:01:00,1606.506
2009-06-29T04:59:00,1606.653
2009-07-09T02:58:00,1606.553
2009-07-19T00:56:00,1606.572
2009-07-28T22:55:00,1606.574
2009-08-07T20:53:00,1606.456
